playlist_genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
edm;0.599;0.894;5;-4.654;0;0.043;0.00198;0.0197;0.534;0.171;128.004;313877
edm;0.49;0.866;7;-3.152;1;0.0406;0.0182;0.0;0.106;0.185;127.998;219844
edm;0.49;0.725;10;-6.854;1;0.0763;0.00813;0.119;0.377;0.106;126.004;200480
edm;0.613;0.775;6;-4.04;0;0.0409;0.00678;0.0;0.0677;0.391;127.906;204609
edm;0.72;0.77;11;-4.069;0;0.0762;0.035;1.88e-06;0.46;0.217;127.996;393750
edm;0.602;0.839;8;-3.561;0;0.0389;0.0141;0.0083;0.0897;0.402;126.001;228987
edm;0.584;0.936;1;-4.456;0;0.283;0.00713;0.0372;0.407;0.363;127.988;337500
edm;0.516;0.946;9;-6.137;0;0.0951;0.072;0.506;0.143;0.162;132.048;161779
edm;0.568;0.878;0;-3.156;1;0.0447;0.00838;3.3e-06;0.0896;0.28;125.967;203810
edm;0.624;0.735;2;-6.664;1;0.0621;0.000502;0.932;0.0679;0.339;127.985;377930
edm;0.576;0.914;9;-4.037;0;0.0634;0.047;0.0068;0.183;0.687;127.94;187500
edm;0.701;0.607;1;-4.514;0;0.0547;0.00444;4.09e-05;0.0433;0.342;127.979;331000
edm;0.627;0.832;6;-5.525;0;0.0478;0.00939;0.00305;0.115;0.216;128.025;298125
edm;0.609;0.989;2;-3.51;1;0.0867;0.000434;0.219;0.0715;0.0358;130.046;171697
edm;0.545;0.78;7;-4.867;0;0.0436;0.0309;4.64e-05;0.0828;0.458;125.014;255093
edm;0.559;0.916;11;-3.05;1;0.0626;0.0453;1.26e-05;0.225;0.195;128.012;215295
edm;0.645;0.832;2;-5.595;1;0.0294;0.00106;0.00264;0.199;0.375;112.028;188371
edm;0.581;0.64;5;-8.367;1;0.0365;0.0266;0.0;0.572;0.288;128.001;196993
edm;0.428;0.922;2;-1.814;1;0.0936;0.0766;0.0;0.0668;0.21;128.17;204375
edm;0.522;0.786;0;-4.462;1;0.042;0.00171;0.00427;0.375;0.4;128.041;353120
edm;0.529;0.821;6;-4.899;0;0.0481;0.108;1.11e-06;0.15;0.436;127.989;210112
